title,lyric,label
Number 1,아침에 일어나 너에게 /짧은 인사를 보낸다 /아무리 멀리 떨어져 있어도 /나는 널 생각하고 있어 /늦은 밤 졸린 눈 비비며 /너에게 편지를 쓸게 /반가운 사진 속 그 표정만큼 /아름다운 나날들이기를 /찬 바람이 불어와 /어깨가 움추러들 때에도 /너를 떠올린다면 씩씩한  /표정 할수있어 /알고있니 넌 나의 Number 1 /두근대는 맘은 아직까지 여기에 /언제까지나 My only one /좋아한단 말은 나를 웃음짓게 해 /My number 1 My only one /때로는 지쳐 울어도 /My number 1 /I want to be with you /우 우 우 우/My number 1 /눈을 감으니 꼭 곁에 있는것 같아/쨘 하고 나타날게/생각치 못한 어느 날/우연히 문득 뒤돌아 봤을 때/그때 꼭 내가 서 있을게/꼭 하고 껴안을게 /가장 반가운 얼굴로/눈물이 왈칵 쏟아진다해도/나는 환하게 웃을거야/혹시 오늘 너에게/서러운 일이 생긴다면/오래 전 그 날처럼 달려가/꼭 안아주고파/아름답게 빛나길/알고있니 넌 나의 Number 1/두근대는 맘은 아직까지 여기에/언제까지나 My only one/좋아한단 말은 나를 웃음짓게 해/My number 1 My only one/때로는 지쳐 울어도/My number 1/I want to be I want to be/I'm still in love with you/My number 1/눈을 감으니 꼭 곁에 있는것 같아 /기억해줘 넌 나의 Number 1/보고싶은 사람 이만 줄일게 안녕/,happiness
샐러드 기념일 (윤은혜 샐러드 송 원곡),라라랄라 라라랄라 워어 워어  /너가 맛있었다고 했던  /살구빛 샐러드  /맛있어서 또 먹고 싶어  /너가 좋아했던 것들을  /나에게 자그마한 행복들 달력  /안 기념일들로  /채워지네 채워지네 Yeah /나나나나나나 너가 좋아했던  /살구빛 샐러드  /그 날은 샐러드 기념일  /우후나나나나나  /너가 좋아하던 멜로디언 소리  /그 날은 멜로디 기념일  /우 라라라나나나 너가  /예뻤었다고  /했던 조그만 고양이  /귀여워서 또 보고 싶어  /너가 좋아했던 것들을  /나에게 자그마한 고양이들 방에  /한가득하게  /채워지네 채워지네 Yeah  /나나나나나나 너가 좋아했던  /살구빛 샐러드  /그 날은 샐러드 기념일 우후 /나나나나  /너가 좋아하던 멜로디언 소리  /그 날은 멜로디 기념일 우우  /라라라나나나 /너가 좋아했던  /살구빛 샐러드  /그 날은 샐러드 기념일 우후 /나나나나  /너가 좋아하던 멜로디언 소리  /그 날은 멜로디 기념일 우우  /라라라나나나 /,happiness
Would U,자꾸 마주치는 네 눈빛에 Baby baby/왠지 어색해 대체 왜 이래/고개를 숙여봐도/너의 발끝에 맘이 설레/또 두근대 두근대 두근대/네 발이 조금씩 내게로 천천히/한 걸음 걸음 가까워지잖아/숨길 수 없어진 내 맘은/커져만 가는데/Come on come on come on/살며시 고개 들어 너를 보면/두 볼에 살짝 입 맞춰줘/Would you Would you Would you/Oh yes I do/혼자서 아주 오래 바라왔던/동화 같은 그런 순간이/Would you Would you/오늘은 꼭 생기길 기도해 볼래/한 발 두 발 뛰는 내 맘/발끝이 닿을 것 같아/나 어떡해야 해/머릿속이 새하얗게 돼/괜시리 장난스레/한 발 물러서 멈춰 서면/넌 다가와 다가와 다가와/점점 더 커지는 심장의 발걸음/어쩌면 네게 들릴 것만 같아/한 발 더 가까이 너에게/먼저 다가갈까/Come on come on come on/살며시 고개 들어 너를 보면/두 볼에 살짝 입 맞춰줘/Would you Would you Would you/Oh yes I do/혼자서 아주 오래 바라왔던/동화 같은 그런 순간이/Would you Would you/오늘은 꼭 생기길 기도해 볼래/Would you Would you boy/Would you Would you boy/Would you be mine/Would you Would you boy/망설이지 말아줘 Oh my love/갑자기 고개 숙여 나를 향해/두 볼에 살짝 입 맞춘 너/놀라서 고개 들어 너를 보면/아무 말 없이 안아줄래/Would you Would you Would you/Oh yes I do 네 품에 포근하게/어쩐지 맘이 자꾸 간지러워/한 쪽 발이 하늘로 날아/Would you Would you/내 마음도 따라서 오를 것 같아/수줍게 간직했던 내 가슴 속 비밀/오늘은 이뤄지길 기도해 볼래/,happiness
선 (Feat. 우효) (45.7cm),어깨동무까진 괜찮아/그치만 손 잡는 건 조금 위험해/잘 자란 메세진 괜찮아/그래도 자냐는 메세진 안 돼/심심할 때 연락해/커피 한 잔은 okay/늦은 시간 술 한 잔은 안 돼/가끔 전화는 okay/영상통화는 no thanks/아무래도 어색해서 못해/우리들 사이엔/우리 둘만 모르게/그어진 선 같은 게 있나 봐/친구라 하기엔/더 가까운 것 같은데/우린 그 선 위에 서 있나 봐/넘어와 boy/넘어와 girl/어색해지면 어쩌지/뻘쭘해지면 어쩌지/넘어와 boy/넘어와 girl/눈 딱 감고 더 다가가 볼까/살짝 기대는 어깨/거기까지는 okay/사실 지금도 난 좋은데/더 다가와도 okay/멀어질까 걱정돼/아직 준비 안 된 것 같애/우리들 사이엔/우리 둘만 모르게/그어진 선 같은 게 있나 봐/친구라 하기엔/더 가까운 것 같은데/우린 그 선 위에 서 있나 봐/우리들 사이엔/우리 둘만 모르게/그어진 그어진 선 같은 게 있나 봐/친구라 하기엔/더 가까운 것 같은데/우린 그 선 위에 서 있나 봐/넘어와 boy/넘어와 girl/어색해지면 어쩌지/뻘쭘해지면 어쩌지/넘어와 boy/넘어와 girl/눈 딱 감고 더 다가가 볼까/,happiness
기분 좋은 날 (웅진 쿠첸 CF 삽입곡),햇살이 가득/그댈 향한 가벼운 발걸음/콧노래 부르며/쇼윈도에 비친/내 모습을 한번 점검해/시간은 충분해/오늘 그대와/어떤 얘기를 나눌까/어딜 가볼까/저기에 그녀가 보이네요/오늘은 정말/너무 기분 좋은 날//미소가 가득/나도 모르게 웃음이 나/그녈 생각하면/지금 내 모습/그녀 맘에 들지 않을까/자꾸 신경 쓰여/오늘 그대와/팔짱을 끼면 어떨까/손잡아볼까/저기에 그녀가 보이네요/오늘은 정말 너무 기분 좋은 날//하늘 위를 날으는/기분이 이런 걸까 오/그댄 너무 새콤달콤/내 마음은 두근두근/기분이 좋아/분홍빛 장미를 닮은/아름다운 그녀의 모습/오늘은 어떨까/상상만으로 터져버릴 듯한/이 기분/어쩌면 좋아/오늘 그대와/어떤 얘기를 나눌까/어딜 가볼까/저기에 그녀가 보이네요/나를 향해 손을 흔드네요/눈 앞에 그녀가 보이네요/오늘은 정말/너무 기분 좋은 날/ /,happiness
"사랑해 (맥심 아이스커피믹스 - 텔레파시 '조인성, 이나영'편)",세상에서 가장 행복한 말/그래서 더욱 듣고픈 말/고마운 말 날 살리는 말/사랑해 그댈 정말/쑥스러워 평생 못하는 말/그래서 더욱 하고픈 말/미안한 말 눈물 나는 말/사랑해 그댈 사랑해/마음은 굴뚝인데/이 핑계 저 핑계로 미뤄뒀지/그렇지만 나는 말야/그러니까 나는 말야/내 진심은 말야/너를 사랑해 사랑해 사랑해/나에겐 누구보다 소중한 사람/언제나 내 곁에 있어서/자꾸 깜빡 잊고 살지만/사랑해 사랑해 사랑해/나 지금 눈물나게 고마운 사람/언제나 그렇게 있어줘/그대 때문에/기쁜 내 맘을 알아줘//멋쩍어서 내내 감추는 맘/그래서 지금 열고픈 맘/든든한 맘 참 따뜻한 맘/사랑해 그댈 사랑해/마음은 안 그런데/자꾸 툴툴거리고 짜증냈지/그렇지만 나는 말야/그러니까 나는 말야/내 진심은 말야/너를 사랑해 사랑해 사랑해/나에겐 누구보다 소중한 사람/언제나 내 곁에 있어서/자꾸 깜빡 잊고 살지만/사랑해 사랑해 사랑해/나 지금 눈물나게 고마운 사람/언제나 그렇게 있어줘/그대 때문에/기쁜 내 맘을 알아줘/이것저것 재지 않아도/별다른 이유 찾지 않아도/날 믿어줄 날 감싸줄 날 지켜줄/힘이 돼 줄 나의 좋은 사람들/그댈 사랑해 사랑해 사랑해/너를 사랑해 사랑해 사랑해/이 세상 누구보다 소중한 사람/언제나 내 곁에 있어서/자꾸 깜빡 잊고 살지만/사랑해 사랑해 사랑해/나 지금 눈물나게 고마운 사람/언제나 그렇게 있어줘/그대 때문에/기쁜 내 맘을 알아줘//너를 사랑해/ /,happiness
Love Never Felt So Good,Baby love never felt so good/And I doubt if it ever could/Not like you hold me hold me/Oh baby/Love never felt so fine/And I doubt if it's ever mine/Not like you hold me hold me/And the night's gonna be just fine/Gotta fly Gotta see/I can't wait/I can't take it cause/Baby/Every time I love you/In and out my life/In and out baby/Tell me/If you really love me/It's in and out my life/In and out baby/So baby/Love never felt so good/Oh baby/Love never felt so fine/And I doubt if it's ever mine/Not like you hold me hold me/Oh baby/Love never felt so good/And I doubt if it ever could/Not like you hold me hold me/And the night's gonna be just fine/Gotta fly gotta see/I can't wait/I can't take it cause/Baby/Every time I love you/It's in and out my life/In and out baby/Tell me/if you really love/It's in and out my life/Driving me crazy/Baby/Love never felt so good/baby/Love never felt so fine/And I doubt if it's ever mine/Not like you hold me hold me/Oh baby/Love never felt so good/And I doubt if it ever could/Not like you hold me hold me/And the night's gonna be just fine/Gotta fly gotta see/I can't wait/I can't take it cause/Baby/Everytime I love you/It's in and out my life/In and out baby/Tell me/If you really love me/It's in and out my life/Driving me crazy/Cause baby/Love never felt so good/It never felt so good/It never felt so good/Never felt so good/It never felt so good/Never felt so good/Alright that's fine/,happiness
Green Light,사랑 그게 뭔지 아직도 궁금해/I'M THINKING THINKING ABOUT LOVE/ABOUT LOVE/생각할수록 답이 멀어져만/가는 것 같아/잘 모르겠어/돌고 도는 쳇바퀴에/맞춰지는 PUZZLE GAME BOARD/그걸 원하는 건 아닐 듯 말이야/왔다 가는 그런 인연/스쳐 가는 많은 우연/아직 난 기다리고 있어 DESTINY/마음은 널 향한/GREEN LIGHT GREEN LIGHT/머리는 날 향한 RED LIGHT RED LIGHT/깜빡이는 신호가 날 서두르게 하지만/또 스쳐가는 인연인가 봐/WOO GREEN LIGHT GREEN LIGHT/WOO RED LIGHT RED LIGHT/WOO GREEN LIGHT GREEN LIGHT/WOO GREEN LIGHT/좋은 예감보다 앞서버린 희망/I’M THINKING THINKING ABOUT LOVE/ABOUT LOVE/똑같은 실수 어김없이 반복해/또 내 안에 켜져 버린 RED LIGHT/돌고 도는 쳇바퀴에/지쳐가는 MIND CONTROL/그걸 원하는 건 아닐 듯 말이야/왔다가는 그런 인연/스쳐가는 많은 우연/아직 난 기다리고 있어 DESTINY/마음은 널 향한/GREEN LIGHT GREEN LIGHT/머리는 날 향한 RED LIGHT RED LIGHT/깜빡이는 신호가 날 서두르게 하지만/또 스쳐가는 인연인가 봐/WOO GREEN LIGHT GREEN LIGHT/WOO RED LIGHT RED LIGHT/WOO GREEN LIGHT GREEN LIGHT/WOO GREEN LIGHT/I’M IN THE GREEN LIGHT/I’M IN THE GREEN LIGHT/I’M IN THE GREEN LIGHT/I’M IN THE GREEN LIGHT/I’M IN THE GREEN LIGHT/I’M IN THE GREEN LIGHT/I’M IN THE GREEN LIGHT/I’M IN THE GREEN LIGHT/마음은 널 향한/GREEN LIGHT GREEN LIGHT/머리는 날 향한 RED LIGHT RED LIGHT/깜빡이는 신호가 날 서두르게 하지만/또 스쳐가는 인연인가 봐/WOO GREEN LIGHT GREEN LIGHT/WOO RED LIGHT RED LIGHT/WOO GREEN LIGHT GREEN LIGHT/WOO GREEN LIGHT/,happiness
널 생각해,tonight/널 바래다 주는 길 내내/내가 변했다고 말하지/널 생각하지 않는다고/너는 투덜대지/언제나/넌 사랑이 설레임이니/내겐 사랑은 익숙함야/너를 떠올리는 그 시간을/따로 두진 않아/늘 널 생각해 그래 널 생각해/바쁜 하루의 순간 순간/그 순간도 니가 보여/모두 보여줄 순 없지만/조금은 너도 느끼잖아/늘 널 생각해 매일 널 생각해/잠이 들어 꿈꾸는 순간도/내 앞에 웃는 그런 너를 생각해/기억나/내가 처음 고백했던 그날/멋진 이벤트도 없었지만/날 받아준 널 내 가슴에 늘 지금처럼/늘 널 생각해 그래 널 생각해/바쁜 하루의 순간 순간/그 순간도 니가 보여/모두 보여줄 순 없지만/조금은 너도 느끼잖아/늘 널 생각해 매일 널 생각해/잠이 들어 꿈꾸는 순간도/내 앞에 웃는 그런 너를 생각해//늘 널 생각해 그래 널 생각해/우리 함께한 순간 순간/그 순간이 소중해서/말로 다 할수는 없지만/조금씩 네게 보여줄게/늘 난 생각해 매일 난 생각해/이른 아침 잠에서 깨어나//이 세상에서 가장 행복한 너를/내 앞에 웃는 그런 널 보며/I love you/ /,happiness
사랑은 맛있다♡,Just Wanna Fall'in Luv//Yeah Yeah/It's all about luv/만남이란 상상만으로도/눈부신 낭만의 시작/한 잔의 진한 설레임에/향기가 온 몸으로 퍼지는/환상의 시간/슬며시 두 볼이 붉어진/연인들이 단풍 잎새 처럼 느껴질/쓸쓸함이란 씨앗에 핀/사랑들이 무르익는 계절의 소식/마음에 번지는 흥분과/또 넘치는 기쁨에/뿜어지는 눈물들이/며칠을 잠을 깨워/또 깨워 밤 새워/애 태워 해 봐도/그리움 못 채워/그저 끄적 편지만 몇 글자/보고 싶은 사람의 얼굴만/자꾸 자꾸 떠 오르네 떠 오르네/Just Wanna Fall'in Luv/혼자 보다 외로움 보다/둘의 행복함 워 어어어/낮과 밤은 사라지는/사랑의 기적/Yeah yo/열과 성과 진심으로 전한/사랑의 결과는/기분 좋은 변화로/믿음이라는 굳은 살이 박히고/더 아끼고픈 욕심에 푹 빠지고/살기좋은 이 삶이란 이야기만/지나칠 만큼 입에 맴돌아/달콤한 말 보다/사소함을 챙길 때/맺는 두 사람의 교감/아주 자주/아픈 말을 낳는/질투가 주는 실수는/비뚤어진 입을 길 들여/이해하기 인정하기를/기억하고 실천하길/넓은 가슴이 즐겨 먹는/사랑은 맛있어/달 빛 젖은 햇살 머금은/세상의 선물 워 어어어/지켜줄께 아껴줄께/영원의 주문/U Make me feel brand new/값진 사랑 반쪽을 갈라/서로 나누어/언제나 가슴에 품고서/모든 순간 함께해//웃음이 번지고/행복함은 넘치고 기쁨도 커지고/Everybody Sing/This song Right Now/사랑은 맛있어/달 빛 젖은 햇살 머금은/세상의 선물 워 어어어/지켜줄께 아껴줄께/영원의 주문/U Make me feel brand new/값진 사랑 반쪽을 갈라/서로 나누어/언제나 가슴에 품고서/모든 순간 함께해/ /,happiness
